epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
0,1e-05,4.3131174,4.3131174,,,,,,,,,,,,,,,,,,,,,4.3131174,,2.6185391,,0.87440302,0.77748691,0.55500827,0.9000912,0.5375123,,,0.069158071,0.12562546,0.069158071,1,0.069158071,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.5e-05,2.5000366,2.5000366,,,,,,,,,,,,,,,,,,,,,2.5000366,,1.0367685,,0.83984586,0.77699308,0.26051328,0.86801833,0.20306726,,,0.12272713,0.20090933,0.13343223,0.87177045,0.43402781,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2e-05,1.1935948,1.1935948,,,,,,,,,,,,,,,,,,,,,1.1935948,,0.21781964,,0.54815452,0.76694163,0.1269427,0.62674666,0.12428866,,,0.39626836,0.52910083,0.48966934,0.65720681,0.94537651,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.5e-05,0.98775243,0.98775243,,,,,,,,,,,,,,,,,,,,,0.98775243,,0.17448221,,0.4354224,0.75088303,0.11827968,0.53390561,0.14211017,,,0.47276817,0.61356097,0.5816484,0.7143088,0.96066266,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3e-05,0.92776866,0.92776866,,,,,,,,,,,,,,,,,,,,,0.92776866,,0.15830045,,0.41135089,0.7384789,0.11127849,0.50164264,0.14732811,,,0.49447811,0.63408056,0.59540531,0.72381493,0.96356545,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.5e-05,0.91320415,0.91320415,,,,,,,,,,,,,,,,,,,,,0.91320415,,0.15343301,,0.40264637,0.72230304,0.10580127,0.50549012,0.15363926,,,0.50439314,0.64481786,0.61376517,0.7196659,0.96436109,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4e-05,0.81100259,0.81100259,,,,,,,,,,,,,,,,,,,,,0.81100259,,0.15548004,,0.32112866,0.70652844,0.11613988,0.43940186,0.21296602,,,0.58757216,0.71990922,0.68949743,0.77768729,0.96607146,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4.5e-05,0.73035916,0.73035916,,,,,,,,,,,,,,,,,,,,,0.73035916,,0.1179504,,0.30821409,0.68616175,0.09120745,0.41482103,0.16872332,,,0.59935423,0.72797867,0.71592677,0.79077061,0.97232425,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5e-05,0.796929,0.796929,,,,,,,,,,,,,,,,,,,,,0.796929,,0.13083901,,0.35494881,0.66923525,0.086647527,0.43383203,0.17439634,,,0.55239574,0.68327537,0.65049777,0.76219652,0.96904314,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5e-05,0.77895584,0.77895584,,,,,,,,,,,,,,,,,,,,,0.77895584,,0.11981672,,0.33855808,0.64617949,0.087070403,0.45862189,0.15425928,,,0.56582959,0.70259678,0.67533925,0.74905357,0.97131137,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
