epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
0,8.4e-05,5.3059525,5.3059525,,2.9594618,2.3464907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11908139,0.20262011,0.13606357,0.53161575,0.69003389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000138,5.0845279,5.0845279,,2.9761425,2.1083853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12817765,0.21533458,0.14671815,0.51448949,0.68788304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.000192,3.7940749,3.7940749,,2.3318635,1.4622114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17443854,0.27553698,0.19200561,0.64222958,0.75115582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.000246,3.7316201,3.7316201,,2.2763041,1.455316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16368027,0.26638659,0.18464844,0.6295108,0.7390915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0003,2.759666,2.759666,,1.8205526,0.93911341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20182575,0.31491238,0.2265175,0.6690958,0.80244279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.00029999699,2.946685,2.946685,,2.0608279,0.88585708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18939731,0.30491887,0.21990922,0.62449576,0.80250875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00029998796,2.2494465,2.2494465,,1.50151,0.74793656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18701339,0.2939305,0.22993433,0.53778267,0.81369644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0002999729,1.6961072,1.6961072,,1.2679137,0.42819347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26968221,0.40912841,0.32059178,0.65061944,0.87809055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00029995183,1.6580048,1.6580048,,1.2805046,0.37750025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22541428,0.34420756,0.30030249,0.48194163,0.88362041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.00029992473,1.5207461,1.5207461,,1.1150346,0.40571145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26052087,0.38832595,0.34725739,0.56576819,0.87534399,1.3845309,1.3845309,,1.1090252,0.27550567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2761642,0.41315983,0.42937084,0.4829401,0.90349623
